panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
Neurology	OID21158	IGFBP4	P22692	PT2-PR2	9	0.29831111111111114	0.12442222222222221	0.1738888888888889	1.6480066244885512	8	0.13796431058742353	0.38648419875363793	
Inflammation_II	OID30713	MST1	P26927	PT2-PR2	8	-0.33413750000000003	-0.4796	0.1454625	1.6747827677956402	7	0.1378870675959849	0.38648419875363793	
Inflammation_II	OID30699	PGA4	P0DJD7	PT2-PR2	8	-0.010249999999999988	-0.15031250000000002	0.1400625	1.674255950594314	7	0.1379924862125821	0.38648419875363793	
Inflammation	OID20443	FCRL3	Q96P31	PT2-PR2	8	0.0697875	-0.33314999999999995	0.4029375	1.6715642939391813	7	0.13853228508245996	0.3872754008029171	
Neurology_II	OID30919	HNF1A	P20823	PT2-PR2	8	-0.2596625	0.09247500000000002	-0.35213749999999994	-1.6715327968525098	7	0.13853861342541385	0.3872754008029171	
Oncology	OID21432	ACP6	Q9NPH0	PT2-PR2	9	0.24343333333333333	0.09406666666666665	0.1493666666666667	1.6446020970345367	8	0.1386726713722113	0.38728166206421744	
Cardiometabolic_II	OID30317	COX6B1	P14854	PT2-PR2	9	0.07474444444444445	-0.1976888888888889	0.2724333333333333	1.64359764405625	8	0.13888230021025283	0.38749876354959434	
Inflammation_II	OID30672	RNASE1	P07998	PT2-PR2	8	-0.11898750000000002	-0.31916250000000007	0.200175	1.6679733141976016	7	0.13925553436900362	0.3881714990285889	
Inflammation	OID20736	ENPP5	Q9UJA9	PT2-PR2	9	0.8155888888888888	0.7385666666666667	0.07702222222222223	1.6410393228092384	8	0.1394175369497901	0.3882547142734439	
Oncology_II	OID31293	MAPKAPK2	P49137	PT2-PR2	8	0.42363750000000006	-0.0918625	0.5155000000000001	1.6664337882254805	7	0.1395666928905761	0.38830203003078845	
Neurology_II	OID31064	OTUD7B	Q6GQQ9	PT2-PR2	8	0.8441124999999999	0.44332499999999997	0.4007875000000001	1.6643141932989374	7	0.13999616108269541	0.38912840232824897	
Neurology	OID21097	SPINK1	P00995	PT2-PR2	9	0.0032888888888888846	-0.10636666666666665	0.10965555555555556	1.6366963620877917	8	0.14033048627775324	0.38932102803025403	
