rule	precision_at_K	recall_at_K	f1_at_K	rep	n	frac_tp	effect	hetero	fragile
abs_d	0.88	0.88	0.88	14	8	0.05	strong	False	0.25
S	0.68	0.68	0.68	14	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	15	8	0.05	strong	False	0.25
abs_d	0.96	0.96	0.96	15	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	15	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	16	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	16	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	16	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	17	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	17	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	17	8	0.05	strong	False	0.25
q	0.68	0.68	0.68	18	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	18	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	18	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	19	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	19	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	19	8	0.05	strong	False	0.25
q	0.68	0.68	0.68	20	8	0.05	strong	False	0.25
abs_d	0.76	0.76	0.76	20	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	20	8	0.05	strong	False	0.25
q	0.68	0.68	0.68	21	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	21	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	21	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	22	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	22	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	22	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	23	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	23	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	23	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	24	8	0.05	strong	False	0.25
abs_d	0.76	0.76	0.76	24	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	24	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	25	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	25	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	25	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	26	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	26	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	26	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	27	8	0.05	strong	False	0.25
abs_d	0.76	0.76	0.76	27	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	27	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	28	8	0.05	strong	False	0.25
abs_d	0.8	0.8	0.8000000000000002	28	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	28	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	29	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	29	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	29	8	0.05	strong	False	0.25
q	0.68	0.68	0.68	30	8	0.05	strong	False	0.25
abs_d	0.8	0.8	0.8000000000000002	30	8	0.05	strong	False	0.25
S	0.68	0.68	0.68	30	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	31	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	31	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	31	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	32	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	32	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	32	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	33	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	33	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	33	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	34	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	34	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	34	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	35	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	35	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	35	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	36	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	36	8	0.05	strong	False	0.25
S	0.8	0.8	0.8000000000000002	36	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	37	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	37	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	37	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	38	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	38	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	38	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	39	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	39	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	39	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	40	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	40	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	40	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	41	8	0.05	strong	False	0.25
abs_d	0.8	0.8	0.8000000000000002	41	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	41	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	42	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	42	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	42	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	43	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	43	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	43	8	0.05	strong	False	0.25
q	0.6	0.6	0.6	44	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	44	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	44	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	45	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	45	8	0.05	strong	False	0.25
S	0.8	0.8	0.8000000000000002	45	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	46	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	46	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	46	8	0.05	strong	False	0.25
q	0.64	0.64	0.64	47	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	47	8	0.05	strong	False	0.25
S	0.68	0.68	0.68	47	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	48	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	48	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	48	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	49	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	49	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	49	8	0.05	strong	False	0.25
q	0.52	0.52	0.52	0	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	0	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	0	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	1	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	1	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	1	8	0.05	strong	False	0.5
