panel	gene_symbol	comparison	baseline_mean_diff	baseline_bh_q	n_loo_runs	sign_match_runs	sign_flip_runs	q05_retained_runs	q10_retained_runs
Cardiometabolic	IGFBP7	PT1-PR1	0.19314	0.1470856944478668	10	10	0	0	0
Inflammation	CD40	PT1-PR1	0.46768	0.1470856944478668	10	10	0	0	1
Inflammation	LY6D	PT1-PR1	0.20232	0.1470856944478668	10	10	0	0	0
Inflammation	SLC39A5	PT1-PR1	0.52445	0.1470856944478668	10	10	0	0	1
Inflammation	TIMP3	PT1-PR1	1.06767	0.1470856944478668	10	10	0	1	1
Inflammation_II	MCEMP1	PT1-PR1	0.88685	0.1470856944478668	10	10	0	0	0
Inflammation	PLXNA4	PT1-PR1	1.07644	0.15175029437745483	10	10	0	0	0
Cardiometabolic	REN	PT1-PR1	0.33891	0.15199545914247536	10	10	0	0	1
Cardiometabolic	SCARF1	PT1-PR1	0.31882	0.15199545914247536	10	10	0	0	0
Inflammation	CRELD2	PT1-PR1	0.33329	0.15320092945605232	10	10	0	0	1
Cardiometabolic	VSIR	PT1-PR1	0.44974	0.15333869242085968	10	10	0	0	1
Cardiometabolic_II	AHNAK	PT1-PR1	-0.291756	0.15333869242085968	10	10	0	0	0
Cardiometabolic_II	SARG	PT1-PR1	0.97935	0.15333869242085968	10	10	0	0	0
Neurology	SFRP1	PT1-PR1	0.864489	0.15333869242085968	10	10	0	0	0
Neurology_II	CDAN1	PT1-PR1	0.24584	0.15333869242085968	10	10	0	0	0
Oncology	SIAE	PT1-PR1	0.38485	0.15333869242085968	10	10	0	0	0
Oncology	ZBTB16	PT1-PR1	0.51617	0.15333869242085968	10	10	0	0	1
Oncology_II	CIRBP	PT1-PR1	1.00915	0.15333869242085968	10	10	0	0	0
Oncology_II	FNTA	PT1-PR1	0.34936	0.1539647326088936	10	10	0	0	0
Oncology	FLT1	PT1-PR1	0.22141	0.15736734253710385	10	10	0	0	0
Cardiometabolic	GH1	PT1-PR1	3.48319	0.1580847658673264	10	10	0	0	0
Cardiometabolic	GZMH	PT1-PR1	0.3716	0.1580847658673264	10	10	0	0	0
Cardiometabolic	HSPB1	PT1-PR1	0.88763	0.1580847658673264	10	10	0	0	0
Cardiometabolic	SUSD1	PT1-PR1	0.55844	0.1580847658673264	10	10	0	0	0
Cardiometabolic	THBD	PT1-PR1	0.12742	0.1580847658673264	10	10	0	0	0
Inflammation	CD4	PT1-PR1	0.328987	0.1580847658673264	10	10	0	0	0
Inflammation	CLIP2	PT1-PR1	1.19785	0.1580847658673264	10	10	0	0	0
Inflammation	DAG1	PT1-PR1	0.43886	0.1580847658673264	10	10	0	0	0
Inflammation	FABP1	PT1-PR1	0.47706	0.1580847658673264	10	10	0	0	0
Inflammation	PDLIM7	PT1-PR1	1.34055	0.1580847658673264	10	10	0	0	0
Inflammation	SERPINB8	PT1-PR1	-0.17297	0.1580847658673264	10	10	0	0	1
Inflammation	TFF2	PT1-PR1	0.18616	0.1580847658673264	10	10	0	0	1
