pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
KEGG_MEDICUS_REFERENCE_KITLG_KIT_PI3K_SIGNALING_PATHWAY	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY	kegg	0	4	20	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_MDA5_IRF7_3_SIGNALING_PATHWAY	kegg	0	4	24	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_MEVALONATE_PATHWAY	kegg	0	4	12	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR	kegg	0	4	26	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_MYOSTATIN_SIGNALING_PATHWAY	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_NAD_BIOSYNTHESIS	kegg	0	4	12	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_NLRP3_INFLAMMASOME_SIGNALING_PATHWAY	kegg	0	4	6	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_NON_CANONICAL_INFLAMMASOME_SIGNALING_PATHWAY	kegg	0	4	7	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_N_GLYCAN_BIOSYNTHESIS	kegg	0	4	16	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_P4_PR_PI3K_SIGNALING_PATHWAY	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	kegg	0	4	17	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_PDL_PD1_SHP_PI3K_SIGNALING_PATHWAY	kegg	0	4	9	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION	kegg	0	4	17	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_PLASMIN_MEDIATED_ACTIVATION_OF_LATENT_TGF_BETA	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	kegg	0	4	29	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_PURINE_SALVAGE_PATHWAY_ADENINE_TO_AMP	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_CFHR	kegg	0	4	6	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT	kegg	0	4	43	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_RIG_I_IRF7_3_SIGNALING_PATHWAY	kegg	0	4	24	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING	kegg	0	4	21	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_TBK1_MEDIATED_AUTOPHAGOSOME_FORMATION	kegg	0	4	10	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_TGFA_EGFR_PI3K_SIGNALING_PATHWAY	kegg	0	4	9	7	2920	1.000000e+00	1.000000e+00	
