module	contrast	n_samples_a	n_samples_b	n_genes	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
module_08	PR2-PR1	10	10	121	-0.10822232211680123	-0.1371089914850893	0.028886669368288077	0.3200731413731212	9	0.7562186751167879	0.9918675810420474	
module_09	PR2-PR1	10	10	117	-0.3161840366993297	-0.3965775851388903	0.08039354843956056	1.019159901563528	9	0.3347401535124883	0.8368503837812208	
module_10	PR2-PR1	10	10	107	-0.0308861274890588	-0.06387670683598926	0.032990579346930435	0.24940624537062528	9	0.8086455293544161	0.9918675810420474	
module_11	PR2-PR1	10	10	104	-0.2614058859787708	-0.26453354589635736	0.0031276599175866114	0.04139912679064036	9	0.9678815809141232	0.9918675810420474	
module_12	PR2-PR1	10	10	91	-0.24329470131473224	-0.4193235010431719	0.17602879972843968	1.4961044664128949	9	0.1688438760549269	0.5628129201830897	
module_13	PR2-PR1	10	10	82	0.011349886074070226	-0.008856176580487785	0.020206062654558023	0.17426678840172863	9	0.8655128020040626	0.9918675810420474	
module_14	PR2-PR1	10	10	79	-0.358047452654215	-0.36715297333860214	0.009105520684387131	0.08659032452018843	9	0.9328930300993661	0.9918675810420474	
module_15	PR2-PR1	10	10	72	-0.053660291234684764	-0.12943558273040048	0.07577529149571571	0.5987094424617613	9	0.5641296238609679	0.9918675810420474	
module_16	PR2-PR1	10	10	63	-0.15852397101449275	-0.25457783326491534	0.09605386225042255	1.0481254639333382	9	0.3219111355320965	0.8368503837812208	
module_17	PR2-PR1	10	10	51	-0.05235436247890459	0.16289246543617447	-0.21524682791507904	-1.882364503682631	9	0.09245671403250011	0.4318830490766228	
module_18	PR2-PR1	10	10	46	0.10192790991110925	-0.1870995426770499	0.28902745258815915	4.223707690651433	9	0.0022272147908619644	0.04454429581723929	
module_19	PR2-PR1	10	10	42	-0.2661444433719434	-0.388990173579563	0.12284573020761962	2.115110570044277	9	0.06354024284076942	0.4318830490766228	
module_20	PR2-PR1	10	10	35	0.14071384991723956	0.24096642857142858	-0.10025257865418902	-0.4884547012578787	9	0.6369084075576388	0.9918675810420474	
module_01	PT2-PT1	10	10	601	1.2790470568430563	1.1718532909221824	0.1071937659208739	0.6651411466611602	9	0.5226377838442975	0.9462628674261884	
module_02	PT2-PT1	10	10	378	-0.04187953140086234	0.010540668311994449	-0.052420199712856795	-0.9832357149454034	9	0.35118328623787676	0.9289018193232332	
module_03	PT2-PT1	10	10	297	-0.08632641903049207	-0.09350768963963965	0.007181270609147553	0.27397254718753616	9	0.7902898968435865	0.9462628674261884	
module_04	PT2-PT1	10	10	184	-0.059416399243286344	-0.06549561802754757	0.0060792187842612245	0.07248560909528473	9	0.9438007837577098	0.9488580150031218	
module_05	PT2-PT1	10	10	165	-0.25933085382123117	-0.3100545619709658	0.05072370814973466	0.8487820017958304	9	0.41800581869545494	0.9289018193232332	
module_06	PT2-PT1	10	10	144	0.14014991969125865	0.18318825365762745	-0.043038333966368816	-3.4527085524684127	9	0.007243675476771738	0.14487350953543476	
module_07	PT2-PT1	10	10	141	-0.14886722279305792	-0.12223335544749983	-0.026633867345558098	-0.40191097051256375	9	0.697126689666852	0.9462628674261884	
module_08	PT2-PT1	10	10	121	-0.18684148189639527	-0.11766523644760388	-0.06917624544879139	-1.0567063415422489	9	0.3181837038572417	0.9289018193232332	
module_09	PT2-PT1	10	10	117	-0.3168233036538849	-0.3297408798419979	0.012917576188113011	0.2551751991251128	9	0.8043234373122601	0.9462628674261884	
module_10	PT2-PT1	10	10	107	0.07540775430682228	0.06370651358940807	0.011701240717414196	0.12203541991674918	9	0.9055524129948354	0.9488580150031218	
module_11	PT2-PT1	10	10	104	-0.1702864794682442	-0.2107487590430066	0.040462279574762415	0.6233905422041985	9	0.5484985035715251	0.9462628674261884	
module_12	PT2-PT1	10	10	91	-0.3293886043090896	-0.2780813463668271	-0.05130725794226258	-0.9542641869866565	9	0.3648759425305341	0.9289018193232332	
module_13	PT2-PT1	10	10	82	0.05700669293641637	-0.015708438383303786	0.07271513131972014	1.2564495652734844	9	0.2405847706390214	0.9289018193232332	
