panel	gene_symbol	n_pt1_pr1	sd_pt1_pr1	n_pt2_pr2	sd_pt2_pr2	mean_sd_acute
Oncology	RILP	10	1.24604	10	1.16437	1.2052
Inflammation	PDGFB	10	1.06284	10	1.3466	1.20472
Inflammation_II	TBCA	10	1.30425	10	1.10368	1.20397
Cardiometabolic	DIABLO	10	0.947148	10	1.45519	1.20117
Cardiometabolic	LEP	10	0.608323	10	1.79316	1.20074
Oncology	GH2	10	0.738813	10	1.66241	1.20061
Inflammation_II	RLN2	10	1.91123	10	0.488401	1.19981
Cardiometabolic_II	BOLA2_BOLA2B	10	1.49121	10	0.907966	1.19959
Neurology_II	FARSA	10	1.04684	10	1.34896	1.1979
Oncology_II	ACOT13	10	0.800829	10	1.59182	1.19632
Inflammation_II	PPBP	10	1.05775	10	1.33474	1.19624
Cardiometabolic_II	CSRP3	10	0.958931	10	1.42759	1.19326
Neurology	MIF	10	1.27423	10	1.11081	1.19252
Inflammation_II	ARHGAP45	10	1.23062	10	1.15278	1.1917
Neurology	MITD1	10	1.1525	10	1.22981	1.19115
Neurology_II	MYL6B	10	0.975677	10	1.4035	1.18959
Oncology_II	RGL2	10	1.45301	10	0.925686	1.18935
Neurology_II	PTH	10	1.12567	10	1.24032	1.18299
Neurology_II	TJP3	10	0.822231	10	1.5303	1.17626
Cardiometabolic	IRAG2	10	1.08162	10	1.26659	1.1741
Cardiometabolic_II	ATP6V1G2	10	0.934153	10	1.40786	1.17101
Cardiometabolic_II	CEP170	10	1.29605	10	1.04271	1.16938
Cardiometabolic	RNASE3	10	0.951936	10	1.38678	1.16936
Inflammation	METAP1D	10	0.743965	10	1.59395	1.16896
Neurology_II	BHLHE40	10	1.34849	10	0.988466	1.16848
Oncology_II	CENPF	10	1.21151	10	1.1238	1.16765
Oncology_II	MINDY1	10	1.21314	10	1.12137	1.16726
Cardiometabolic	PM20D1	10	0.549695	10	1.78215	1.16592
Inflammation_II	LATS1	10	1.1237	10	1.20439	1.16404
Oncology_II	CENPJ	10	0.984062	10	1.32307	1.15356
Cardiometabolic	CA1	10	1.41455	10	0.889795	1.15217
Inflammation	IRAK4	10	0.865761	10	1.43477	1.15026
Inflammation	ITGA6	10	0.994745	10	1.30569	1.15022
Oncology	KIFBP	10	0.85038	10	1.44439	1.14738
Oncology_II	PHLDB1	10	0.865329	10	1.42412	1.14472
Oncology_II	EIF2AK2	10	1.06025	10	1.22541	1.14283
Oncology_II	MTHFSD	10	1.04572	10	1.23826	1.14199
Neurology_II	EIF4G3	10	1.01344	10	1.27049	1.14196
Neurology	TDGF1	10	0.899146	10	1.38272	1.14093
Oncology_II	CDC42BPB	10	0.971757	10	1.30529	1.13852
Inflammation	IL6	10	0.940358	10	1.32849	1.13442
Neurology_II	IL13RA2	10	1.38191	10	0.88527	1.13359
Cardiometabolic	DOK2	10	0.925954	10	1.34067	1.13331
Oncology_II	TNPO1	10	0.603158	10	1.66124	1.1322
Oncology_II	CMIP	10	1.03135	10	1.23129	1.13132
Inflammation	HEXIM1	10	0.961679	10	1.29676	1.12922
Cardiometabolic_II	HPSE	10	1.0486	10	1.20807	1.12833
Oncology_II	SDCCAG8	10	0.912117	10	1.33932	1.12572
Oncology	SIRT2	10	1.21153	10	1.03968	1.1256
Neurology_II	PMS1	10	0.665191	10	1.58433	1.12476
Cardiometabolic_II	ASRGL1	10	0.950799	10	1.2985	1.12465
Oncology_II	CASP4	10	1.1047	10	1.14372	1.12421
Cardiometabolic	AZU1	10	0.69153	10	1.55673	1.12413
Oncology_II	TRIM58	10	0.974947	10	1.26497	1.11996
Oncology_II	IST1	10	1.11664	10	1.12068	1.11866
Oncology_II	NAP1L4	10	1.13777	10	1.09881	1.11829
Inflammation_II	EIF4E	10	1.05584	10	1.1795	1.11767
Cardiometabolic_II	DTYMK	10	1.30244	10	0.931937	1.11719
Oncology_II	ITIH5	10	1.15394	10	1.07818	1.11606
Neurology	MMP8	10	0.553304	10	1.67736	1.11533
Oncology_II	MAPK13	10	0.906835	10	1.32231	1.11457
Inflammation	PTPN6	10	0.986142	10	1.24064	1.11339
Oncology_II	RASGRF1	10	1.3985	10	0.825882	1.11219
Oncology_II	SH3GL3	10	1.05859	10	1.16579	1.11219
Neurology_II	BCL2L1	10	1.11091	10	1.11328	1.11209
Neurology	CC2D1A	10	1.19924	10	1.02036	1.1098
Inflammation_II	RABEP1	10	0.927311	10	1.29096	1.10913
Cardiometabolic_II	GUK1	10	1.43558	10	0.779052	1.10732
Cardiometabolic_II	DHODH	10	1.01116	10	1.19863	1.10489
Oncology_II	H2AP	10	0.935607	10	1.27206	1.10383
Cardiometabolic	IGFBP1	10	1.18255	10	1.02358	1.10306
Neurology	BIN2	10	0.883545	10	1.31955	1.10155
Oncology	SUGT1	10	1.28207	10	0.913067	1.09757
Inflammation	IL1B	10	1.54577	10	0.647552	1.09666
Neurology	CHMP1A	10	1.0145	10	1.17224	1.09337
Inflammation_II	DAAM1	10	1.31083	10	0.874415	1.09262
Oncology_II	BEX3	10	1.31435	10	0.867408	1.09088
Neurology_II	FBN2	10	0.921448	10	1.25648	1.08896
Neurology_II	MICALL2	10	0.988074	10	1.1852	1.08664
Inflammation_II	FGF16	10	1.00437	10	1.1672	1.08578
Cardiometabolic_II	UPB1	10	0.370628	10	1.79163	1.08113
Inflammation_II	JAM3	10	1.76442	10	0.397486	1.08095
Neurology	ENO1	10	1.02869	10	1.12448	1.07658
Neurology_II	TTF2	10	1.18354	10	0.969177	1.07636
Inflammation_II	EVI5	10	1.07996	10	1.07194	1.07595
Neurology_II	AK2	10	0.874752	10	1.27419	1.07447
Inflammation_II	CACYBP	10	0.936682	10	1.21059	1.07364
Inflammation	SKAP2	10	1.06195	10	1.08514	1.07354
Inflammation	STX8	10	0.892022	10	1.25492	1.07347
Cardiometabolic_II	LILRA4	10	1.03332	10	1.11031	1.07182
Neurology	AMFR	10	1.32708	10	0.811049	1.06906
Neurology_II	LRP2BP	10	1.3372	10	0.799456	1.06833
Cardiometabolic	CASP3	10	0.929971	10	1.20577	1.06787
Oncology	STX4	10	0.799164	10	1.33656	1.06786
Oncology	CDKN1A	10	0.683674	10	1.45167	1.06767
Neurology_II	TNIP1	10	0.969408	10	1.16291	1.06616
Oncology	VPS37A	10	0.771697	10	1.35866	1.06518
Neurology_II	AKT2	10	1.1224	10	1.00773	1.06506
Inflammation_II	GIT1	10	1.02011	10	1.10461	1.06236
Oncology	CEP85	10	0.988936	10	1.13553	1.06223
Oncology_II	THAP12	10	1.19933	10	0.923642	1.06148
Cardiometabolic_II	EHBP1	10	0.977647	10	1.14488	1.06126
Cardiometabolic_II	YOD1	10	1.51375	10	0.607223	1.06049
Neurology	PRL	10	0.826841	10	1.29219	1.05951
Oncology_II	ZNF75D	10	1.08446	10	1.03274	1.0586
Oncology_II	PPP2R5A	10	0.734343	10	1.37808	1.05621
Cardiometabolic_II	NFX1	10	1.05483	10	1.05689	1.05586
Oncology	HMBS	10	1.27957	10	0.830339	1.05496
Oncology_II	MTIF3	10	0.753627	10	1.35546	1.05454
Oncology_II	AP3B1	10	1.18624	10	0.921787	1.05401
Neurology	CRADD	10	1.2099	10	0.894325	1.05211
Oncology_II	DCUN1D2	10	1.08506	10	1.01214	1.0486
Neurology_II	LRRC38	10	0.980102	10	1.11689	1.04849
Cardiometabolic_II	MECR	10	0.97863	10	1.11719	1.04791
Inflammation_II	DDI2	10	1.29087	10	0.803453	1.04716
Cardiometabolic	CA13	10	0.869315	10	1.22239	1.04585
Cardiometabolic	SDC4	10	0.681911	10	1.40883	1.04537
Neurology_II	SV2A	10	0.807724	10	1.28108	1.0444
Cardiometabolic	SERPINE1	10	0.731421	10	1.35552	1.04347
Cardiometabolic_II	SERPINE2	10	0.770841	10	1.31408	1.04246
Inflammation	RAB6A	10	1.08176	10	1.00307	1.04241
Neurology_II	CLGN	10	0.952652	10	1.13023	1.04144
Inflammation_II	PER3	10	0.775765	10	1.30694	1.04135
Inflammation	GOPC	10	0.682798	10	1.39806	1.04043
Inflammation_II	NEXN	10	0.967287	10	1.11324	1.04026
Inflammation	CD40LG	10	0.785107	10	1.29188	1.03849
Neurology_II	TARM1	10	0.747893	10	1.32849	1.03819
Neurology_II	GIGYF2	10	0.837464	10	1.23819	1.03783
Inflammation	SAMD9L	10	0.819637	10	1.25302	1.03633
Inflammation	MGLL	10	0.869469	10	1.20313	1.0363
Inflammation_II	PTRHD1	10	1.19413	10	0.878088	1.03611
Oncology	NDUFS6	10	1.26539	10	0.80267	1.03403
Oncology_II	BRAP	10	0.844054	10	1.21521	1.02963
Inflammation_II	BCL2L15	10	1.28949	10	0.76859	1.02904
Neurology_II	NAA80	10	0.919898	10	1.13554	1.02772
Neurology	NEFL	10	1.2025	10	0.852784	1.02764
Inflammation	EGF	10	0.854664	10	1.19959	1.02713
Inflammation_II	CD226	10	1.01893	10	1.035	1.02696
Oncology_II	UFD1	10	0.759283	10	1.29373	1.02651
Oncology_II	PDIA2	10	0.907455	10	1.14519	1.02632
Cardiometabolic_II	EIF5	10	1.08504	10	0.967331	1.02619
Neurology_II	ERC2	10	1.1717	10	0.880008	1.02586
Oncology_II	KAZN	10	0.87023	10	1.17926	1.02475
Cardiometabolic_II	PMM2	10	0.844037	10	1.20345	1.02374
Oncology	FXN	10	0.91676	10	1.12296	1.01986
Oncology	SPARC	10	0.553896	10	1.48482	1.01936
Cardiometabolic_II	FDX2	10	0.738635	10	1.29896	1.0188
Oncology_II	TGFB2	10	1.19144	10	0.846158	1.0188
Inflammation_II	RAP1A	10	0.968718	10	1.06766	1.01819
Oncology_II	GABARAP	10	1.47213	10	0.561092	1.01661
Cardiometabolic	PRKAR1A	10	0.877707	10	1.15316	1.01543
Oncology_II	TMED8	10	0.83366	10	1.19561	1.01464
Oncology	TP53	10	1.18768	10	0.839241	1.01346
Oncology_II	TRIM26	10	1.45358	10	0.572957	1.01327
Oncology	DAB2	10	0.847072	10	1.17777	1.01242
Neurology	PTPN1	10	1.04622	10	0.977908	1.01207
Inflammation_II	MTDH	10	0.966093	10	1.05793	1.01201
Inflammation	PPP1R9B	10	0.77904	10	1.24476	1.0119
Oncology_II	FAM13A	10	0.86201	10	1.16076	1.01139
Cardiometabolic_II	DNAJC6	10	0.889928	10	1.13132	1.01063
Neurology	AHSP	10	1.40193	10	0.619249	1.01059
Oncology_II	CIRBP	10	0.919766	10	1.09997	1.00987
Inflammation_II	GMPR2	10	1.05663	10	0.961481	1.00906
Neurology	FKBP5	10	1.13253	10	0.885464	1.009
Oncology	AARSD1	10	1.12938	10	0.885038	1.00721
Inflammation	PIK3AP1	10	1.08572	10	0.928442	1.00708
Cardiometabolic	CORO1A	10	0.965249	10	1.04887	1.00706
Oncology_II	LARP1	10	0.619751	10	1.39353	1.00664
Neurology_II	SH3GLB2	10	1.23717	10	0.772484	1.00483
Inflammation	ANGPT1	10	0.734724	10	1.27401	1.00437
Neurology_II	CACNB3	10	0.961223	10	1.04573	1.00348
Oncology	STAT5B	10	0.97545	10	1.02922	1.00234
Cardiometabolic_II	SARG	10	0.895776	10	1.10823	1.002
Oncology	TJAP1	10	0.852657	10	1.14694	0.999798
Oncology_II	CDK1	10	1.31378	10	0.683664	0.99872
Oncology_II	MTSS1	10	0.893412	10	1.10402	0.998714
Cardiometabolic_II	EIF2AK3	10	0.839208	10	1.15735	0.998279
Inflammation_II	ST13	10	1.12172	10	0.873521	0.997621
Inflammation_II	DEFB103A_DEFB103B	10	0.977908	10	1.01488	0.996393
Oncology_II	CCND2	10	1.13264	10	0.857045	0.994842
Neurology_II	ARHGEF10	10	0.765743	10	1.22242	0.994079
Cardiometabolic_II	NIT2	10	1.25391	10	0.731494	0.992703
Oncology	ARG1	10	1.11046	10	0.873919	0.99219
Inflammation_II	DNAJB2	10	1.27668	10	0.705091	0.990885
Inflammation_II	DGKA	10	1.06435	10	0.916226	0.99029
Neurology_II	GBA	10	0.766963	10	1.21163	0.989298
Inflammation_II	CGB3_CGB5_CGB8	10	1.33672	10	0.639605	0.98816
Cardiometabolic_II	EHD3	10	0.759485	10	1.21119	0.985338
Inflammation	GMPR	10	1.11826	10	0.852412	0.985338
Cardiometabolic	OLR1	10	0.457064	10	1.50525	0.981156
Neurology	DARS1	10	1.0624	10	0.899614	0.981008
Neurology_II	CHRM1	10	1.15418	10	0.80482	0.979501
Oncology_II	CEP350	10	0.870377	10	1.08841	0.979392
Cardiometabolic_II	GMFG	10	0.990286	10	0.966662	0.978474
Neurology_II	SOX9	10	1.35073	10	0.605947	0.978338
Neurology	EIF4B	10	1.36051	10	0.595818	0.978162
Cardiometabolic	PDGFA	10	0.704349	10	1.24876	0.976556
Neurology	EREG	10	0.622024	10	1.32998	0.976003
Neurology	HARS1	10	0.861099	10	1.09052	0.975808
Inflammation_II	ERP29	10	1.0244	10	0.927113	0.975757
Cardiometabolic	CD69	10	0.77225	10	1.17848	0.975365
Inflammation	TRIM5	10	0.657363	10	1.29082	0.97409
Oncology_II	MTSS2	10	0.994941	10	0.946195	0.970568
Cardiometabolic_II	MMUT	10	0.863389	10	1.07555	0.969472
Neurology_II	DCUN1D1	10	1.01884	10	0.917788	0.968315
Oncology	KLK12	10	0.640853	10	1.29251	0.966683
Neurology_II	KRT8	10	1.10045	10	0.831948	0.966198
Neurology	NSFL1C	10	1.08018	10	0.848819	0.964499
Neurology	BMP4	10	0.952855	10	0.975925	0.96439
Cardiometabolic	MFAP3	10	0.809906	10	1.11465	0.962277
Inflammation_II	UROD	10	1.04796	10	0.874497	0.961229
Neurology_II	MN1	10	1.34639	10	0.572023	0.959207
Oncology_II	PARD3	10	0.951188	10	0.967171	0.95918
Oncology	TBL1X	10	0.792717	10	1.12349	0.958103
Inflammation	TANK	10	0.703534	10	1.21066	0.957099
Cardiometabolic_II	LPP	10	0.818214	10	1.09537	0.956792
Neurology	IL18RAP	10	0.956132	10	0.955123	0.955628
Oncology	IQGAP2	10	0.792906	10	1.11547	0.954186
Neurology_II	TMPRSS11B	10	1.11974	10	0.788329	0.954034
Neurology_II	AKR1B10	10	0.813793	10	1.09424	0.954017
Inflammation	ANXA11	10	0.868159	10	1.03922	0.953691
Neurology	VTA1	10	1.02158	10	0.885049	0.953314
Neurology_II	CIT	10	0.753704	10	1.1499	0.951803
Neurology	FYB1	10	0.663352	10	1.23909	0.951221
Neurology_II	ELAC1	10	0.804202	10	1.09688	0.950542
Inflammation	MYO9B	10	0.847996	10	1.04944	0.948721
Cardiometabolic_II	USP47	10	1.08293	10	0.811038	0.946982
Oncology_II	DCLRE1C	10	0.767154	10	1.1204	0.943776
Cardiometabolic_II	NFKB1	10	0.917307	10	0.969459	0.943383
Inflammation	DNAJA2	10	0.905855	10	0.978255	0.942055
Inflammation	PSMG3	10	1.16064	10	0.720139	0.94039
