gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
SARG	10	0.9793500000000002	0.9794731500000007	0.26805243912880256	0.4930225	1.542529	1.0	1.0	PT1-PR1	1000
YES1	10	0.9780300000000001	0.9819545099999991	0.3056850573918728	0.38863075000000014	1.6259029999999994	1.0	1.0	PT1-PR1	1000
IL10RB	10	0.13165000000000002	0.13345743000000013	0.04182877077993159	0.050287750000000006	0.21758549999999996	1.0	1.0	PT1-PR1	1000
AGRN	10	0.33364000000000005	0.3337381599999999	0.0691408882821652	0.1941395	0.47145050000000005	1.0	1.0	PT1-PR1	1000
MEP1B	10	0.05987999999999993	0.05926071999999991	0.020027702757914087	0.023267749999999966	0.10078574999999997	1.0	1.0	PT1-PR1	1000
AGER	10	0.21736	0.21989949999999991	0.038967124540373085	0.13858149999999997	0.29403050000000003	1.0	1.0	PT1-PR1	1000
TNN	10	0.24564000000000002	0.24577200999999993	0.06549812732852327	0.1247235	0.37440575	1.0	1.0	PT1-PR1	1000
FNTA	10	0.34936	0.3508914200000002	0.09857623596527038	0.15369175000000002	0.5398317499999999	1.0	1.0	PT1-PR1	1000
MESD	10	0.7159800000000001	0.7161339200000009	0.20826020189831818	0.34704250000000003	1.15963775	1.0	1.0	PT1-PR1	1000
AK2	10	1.01263	1.00739542	0.2596435000887988	0.5626657500000001	1.5378542499999996	1.0	1.0	PT1-PR1	1000
CMC1	10	0.6112	0.6119470999999991	0.17218951233960142	0.2974615	0.9835714999999999	1.0	1.0	PT1-PR1	1000
GIPC3	10	1.07684	1.0845308600000003	0.30318707305181425	0.5287662500000001	1.7182214999999998	1.0	1.0	PT1-PR1	1000
FKBP14	10	0.60488	0.6054572700000017	0.18417320367577728	0.24783100000000002	0.9999322500000002	1.0	1.0	PT1-PR1	1000
MB	10	-0.39685000000000004	-0.3941090199999997	0.08183800739567217	-0.553898	-0.23686700000000002	0.0	1.0	PT1-PR1	1000
GMFG	10	0.91927	0.9193208200000009	0.2997608068170875	0.3737055000000001	1.5773675	1.0	1.0	PT1-PR1	1000
AMPD3	10	-0.5810799999999999	-0.5867873100000001	0.290180224181404	-1.2259372499999996	-0.11727324999999998	0.0	1.0	PT1-PR1	1000
OTUD7B	10	0.52014	0.5183542400000005	0.15282040795099555	0.2271315	0.8164895	1.0	1.0	PT1-PR1	1000
SUMF2	10	0.5166700000000001	0.5206231200000001	0.0891124333650801	0.3459045	0.70040325	1.0	1.0	PT1-PR1	1000
SULT1A1	10	1.14083	1.14648951	0.36841372059083183	0.45662349999999985	1.9243739999999996	1.0	1.0	PT1-PR1	1000
CRIM1	10	0.36297	0.36259260999999987	0.03853487211938239	0.29311550000000003	0.43737024999999996	1.0	1.0	PT1-PR1	1000
WIF1	10	0.27830000000000005	0.2831146800000001	0.06422226767533956	0.152835	0.39762574999999994	1.0	1.0	PT1-PR1	1000
SMOC1	10	0.33542	0.3386359900000001	0.053891001884396265	0.236122	0.44361225	1.0	1.0	PT1-PR1	1000
FGFBP3	10	0.43273	0.4332136900000006	0.03415926206856597	0.36517574999999997	0.49771524999999994	1.0	1.0	PT1-PR1	1000
CRELD2	10	0.33329000000000003	0.33475420999999994	0.0887184462537616	0.15201000000000003	0.51450775	1.0	1.0	PT1-PR1	1000
IGSF9	10	0.29958	0.2971782100000006	0.06743027204961126	0.16738800000000006	0.43305150000000003	1.0	1.0	PT1-PR1	1000
ALDH1A1	10	-0.39611	-0.39824072000000066	0.12570176018972998	-0.6769734999999999	-0.20466625000000005	0.0	1.0	PT1-PR1	1000
CLUL1	10	0.16275	0.16263112999999982	0.0616438213037449	0.05280175	0.29599875000000003	1.0	1.0	PT1-PR1	1000
MDK	10	0.36179999999999995	0.36476405	0.07980742902528017	0.20762449999999996	0.515396	1.0	1.0	PT1-PR1	1000
CNPY4	10	0.5339599999999999	0.5363334100000002	0.13218896419416645	0.30595725	0.8079972499999999	1.0	1.0	PT1-PR1	1000
CNST	10	0.8293100000000001	0.8273346400000003	0.21267259698084506	0.42366300000000007	1.2614699999999996	1.0	1.0	PT1-PR1	1000
SRC	10	1.3960700000000001	1.402428759999999	0.3579899349503954	0.734147	2.1237157499999992	1.0	1.0	PT1-PR1	1000
GDF15	10	0.24853000000000006	0.2493428900000002	0.040155686260939266	0.17055625	0.3272375	1.0	1.0	PT1-PR1	1000
PHACTR2	10	1.1614600000000002	1.1573103900000001	0.3289464464960981	0.5360037499999999	1.859424	1.0	1.0	PT1-PR1	1000
PTN	10	0.45199	0.44917374000000004	0.09494506477082804	0.27063574999999995	0.6527634999999999	1.0	1.0	PT1-PR1	1000
PTPN6	10	0.8625300000000001	0.8614692199999996	0.29735872389972134	0.29903925	1.4494424999999995	1.0	1.0	PT1-PR1	1000
GDF2	10	0.26639	0.26838708999999983	0.057884798606729626	0.14578475	0.3698645	1.0	1.0	PT1-PR1	1000
TNFSF13	10	0.16219	0.1619996700000003	0.03302905263717401	0.10012800000000001	0.2272387499999999	1.0	1.0	PT1-PR1	1000
MMP3	10	-0.40984999999999994	-0.40759742999999965	0.05033060683201804	-0.50888625	-0.30803775	0.0	1.0	PT1-PR1	1000
COLEC12	10	0.13014	0.1304917999999998	0.03713376466557408	0.05977424999999999	0.20514549999999995	1.0	1.0	PT1-PR1	1000
STK4	10	0.69458	0.69305278	0.17374356319248904	0.351062	1.0318192499999996	1.0	1.0	PT1-PR1	1000
ADGRG1	10	0.37724	0.3740277800000001	0.08376215598733862	0.20814975000000002	0.5428702499999999	1.0	1.0	PT1-PR1	1000
ACAN	10	0.23047	0.22921871000000033	0.07011840901302895	0.11594924999999999	0.37744274999999994	1.0	1.0	PT1-PR1	1000
PGF	10	0.11765	0.11715034000000003	0.04676984629873404	0.04086049999999999	0.21599224999999997	1.0	1.0	PT1-PR1	1000
GCNT1	10	-0.25199000000000005	-0.2514639099999999	0.07356612043248831	-0.39567	-0.10721800000000001	0.0	1.0	PT1-PR1	1000
GCC1	10	0.86808	0.8723830200000007	0.3141953018607869	0.2917997500000001	1.5468862499999996	1.0	1.0	PT1-PR1	1000
PTPRH	10	0.28773	0.2877288000000001	0.04851713218725601	0.19310974999999997	0.3781217499999999	1.0	1.0	PT1-PR1	1000
SNAP23	10	1.1754000000000002	1.1754118800000017	0.28992368658270634	0.59016575	1.7455695000000002	1.0	1.0	PT1-PR1	1000
SMTN	10	1.11943	1.126931660000002	0.34079896788834074	0.47712524999999995	1.8378167499999996	1.0	1.0	PT1-PR1	1000
COL1A1	10	0.11393999999999997	0.11421072999999994	0.03463838584491257	0.05178699999999997	0.18557724999999997	1.0	1.0	PT1-PR1	1000
ACY1	10	0.21714000000000003	0.21755690000000008	0.07663946959295519	0.09181425000000004	0.37944474999999994	1.0	1.0	PT1-PR1	1000
MINK1	10	0.9806299999999999	0.9823137400000004	0.33752894090664565	0.388872	1.65049875	1.0	1.0	PT1-PR1	1000
GFER	10	0.4472600000000001	0.4453082800000001	0.1496999839867969	0.18157924999999994	0.76894775	1.0	1.0	PT1-PR1	1000
SNAP29	10	0.9856099999999998	0.9917628900000004	0.25092662318887715	0.51775625	1.49546675	1.0	1.0	PT1-PR1	1000
GH1	10	3.4831900000000005	3.4862768399999986	0.9802373873472529	1.6717817500000003	5.427561749999999	1.0	1.0	PT1-PR1	1000
FST	10	0.4465199999999999	0.45015175999999996	0.07918538846181307	0.29959674999999997	0.6014272500000001	1.0	1.0	PT1-PR1	1000
FSTL3	10	0.19711	0.19852925999999985	0.04816745012665816	0.1032595	0.290531	1.0	1.0	PT1-PR1	1000
STXBP1	10	0.7979499999999999	0.7970836500000006	0.150664426446238	0.516271	1.0844970000000003	1.0	1.0	PT1-PR1	1000
TNIP1	10	0.79123	0.7963093800000017	0.28931934349734917	0.26268550000000007	1.3983599999999998	1.0	1.0	PT1-PR1	1000
TNFSF12	10	0.22409000000000004	0.22392053999999992	0.0511646793865175	0.12626925	0.3164635	1.0	1.0	PT1-PR1	1000
MGLL	10	0.8390099999999998	0.8447426300000002	0.2559063612670073	0.3709807500000001	1.3615975	1.0	1.0	PT1-PR1	1000
STX6	10	0.7102100000000002	0.7092697300000006	0.2254103929042679	0.28734650000000006	1.1637044999999997	1.0	1.0	PT1-PR1	1000
FYB1	10	0.71293	0.7075917100000007	0.2035900555166711	0.2844544999999999	1.09420625	1.0	1.0	PT1-PR1	1000
COCH	10	0.3854	0.38016246000000026	0.16626517522572562	0.13682225	0.7535620000000002	1.0	1.0	PT1-PR1	1000
ADAM9	10	0.41963	0.4178488299999996	0.09035570015600437	0.23881000000000002	0.58990475	1.0	1.0	PT1-PR1	1000
STX4	10	0.74455	0.7506888500000001	0.23943516936219914	0.26925174999999996	1.24091775	1.0	1.0	PT1-PR1	1000
ZBTB16	10	0.51617	0.5101229300000001	0.14648777674143929	0.20591874999999996	0.8021779999999998	1.0	1.0	PT1-PR1	1000
MIA	10	0.14221999999999999	0.14199554	0.04991119308234678	0.04927399999999999	0.24267399999999995	1.0	1.0	PT1-PR1	1000
