gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
DDX58	23	-1.7105791304347828	-1.7119009786956518	0.25428244781655873	-2.2129146630434784	-1.2157581195652176	0.0	1.0	late-early	1000
GLB1	23	-0.49524086956521746	-0.494931995652174	0.10459126838219011	-0.6995938369565218	-0.2811348913043478	0.0	1.0	late-early	1000
GRN	23	-0.6089939130434784	-0.60904361826087	0.07858017755487001	-0.7555855978260871	-0.45452514130434796	0.0	1.0	late-early	1000
ST6GAL1	23	-0.5040878260869563	-0.5017874147826087	0.09378524593667029	-0.7028759456521739	-0.31445160869565225	0.0	1.0	late-early	1000
MCP-3	23	-0.9279134782608698	-0.925289005217392	0.26021756601523816	-1.4604151847826088	-0.4501586086956524	0.0	1.0	late-early	1000
IL33	23	-0.3477586956521739	-0.34960909521739125	0.08765327293163737	-0.5320217717391303	-0.1881036086956522	0.0	1.0	late-early	1000
TNF	23	-0.3549626086956523	-0.3491346869565216	0.09800426175802897	-0.5430456847826091	-0.16571615217391356	0.0	1.0	late-early	1000
IRF9	23	-0.8453799999999999	-0.8436298643478246	0.14508767620433125	-1.1205006086956524	-0.562605847826087	0.0	1.0	late-early	1000
ITGB6	23	0.28176652173913047	0.27975040521739114	0.08054885498268438	0.12594669565217392	0.4370172608695652	1.0	1.0	late-early	1000
TLT-2	23	0.2500095652173914	0.2505015065217395	0.05711470982764298	0.13652104347826086	0.3584264782608695	1.0	1.0	late-early	1000
MCP-4	23	0.6170930434782611	0.6166878243478268	0.18813687941515653	0.2564974673913044	0.9979831630434784	1.0	1.0	late-early	1000
MCP-2	23	-1.508211304347826	-1.5066960030434773	0.21282402118103247	-1.902065402173913	-1.0936223913043484	0.0	1.0	late-early	1000
IL12RB1	23	-0.3525926086956521	-0.35160547260869485	0.09292264185454234	-0.5418709673913042	-0.17719951086956523	0.0	1.0	late-early	1000
MCP-1	23	-0.432467391304348	-0.4322383717391305	0.10531580224923871	-0.6509431847826092	-0.22855638043478313	0.0	1.0	late-early	1000
KRT19	23	-1.0359452173913042	-1.0350687508695653	0.224825126287377	-1.449620663043478	-0.6050873586956522	0.0	1.0	late-early	1000
LAG3	23	-0.7221000000000002	-0.7240168739130435	0.09103549800861677	-0.8985980217391304	-0.5495304021739131	0.0	1.0	late-early	1000
THPO	23	-0.3863308695652174	-0.3861678213043483	0.09440898920260278	-0.5790763043478261	-0.22191408695652162	0.0	1.0	late-early	1000
LTBP2	23	-0.30410913043478266	-0.3081518186956517	0.09173084071160677	-0.48821360869565233	-0.12309134782608709	0.0	1.0	late-early	1000
LILRB4	23	-0.5397765217391306	-0.5391999626086956	0.10261706476141486	-0.753130989130435	-0.3416272826086956	0.0	1.0	late-early	1000
IL2-RA	23	0.3204669565217393	0.3205543556521743	0.09068261638380154	0.154572347826087	0.5048413152173916	1.0	1.0	late-early	1000
IL10	23	-0.889947391304348	-0.885722623043478	0.31080353988483417	-1.5322230978260873	-0.3095033586956521	0.0	1.0	late-early	1000
GT	23	-0.5028565217391302	-0.4945761934782602	0.17419270134881254	-0.840307869565217	-0.16298310869565202	0.0	1.0	late-early	1000
MMP7	23	0.48589956521739114	0.4853648013043475	0.14349251687457426	0.21805681521739118	0.7880685	1.0	1.0	late-early	1000
TNFRSF14	23	0.2767473913043479	0.27649398347826104	0.056788967074752145	0.16859575000000027	0.3921343369565218	1.0	1.0	late-early	1000
HCLS1	23	-0.396924347826087	-0.39467128347826075	0.13672219292089033	-0.6684972934782609	-0.12829182608695655	0.0	1.0	late-early	1000
HEXIM1	23	-0.5135343478260868	-0.5154471139130437	0.1409225225274677	-0.7926946413043475	-0.23034370652173916	0.0	1.0	late-early	1000
HNMT	23	-0.6251213043478261	-0.6225444856521736	0.13834338061445067	-0.8999106086956521	-0.35774523913043477	0.0	1.0	late-early	1000
MPO	23	-0.31384347826086956	-0.3167687704347826	0.09346072451724839	-0.5077385217391305	-0.14337908695652168	0.0	1.0	late-early	1000
IFN-gamma	23	-2.5412513043478255	-2.509368090000002	0.5004444386606978	-3.504669695652174	-1.5150771304347825	0.0	1.0	late-early	1000
IGFBP-1	23	-0.8868947826086955	-0.8840251521739139	0.22739591489163788	-1.333149206521739	-0.4418465326086954	0.0	1.0	late-early	1000
IL-1ra	23	-0.49125869565217395	-0.48967219782608695	0.16049324483111127	-0.7968145326086957	-0.1736839021739133	0.0	1.0	late-early	1000
TNFRSF11A	23	0.2464417391304348	0.246132964347826	0.05520949853673216	0.13936905434782607	0.3584071195652177	1.0	1.0	late-early	1000
TNFRSF10C	23	0.5689299999999998	0.5681518517391314	0.07074780956294899	0.4373642282608695	0.7057916304347825	1.0	1.0	late-early	1000
IL-15RA	23	0.19739391304347828	0.19565751434782616	0.053799842704012335	0.0913645434782609	0.2981303804347827	1.0	1.0	late-early	1000
IL-18BP	23	-0.20663608695652175	-0.20613175956521743	0.0527776805420287	-0.31066299999999997	-0.09993247826086957	0.0	1.0	late-early	1000
IL-18R1	23	-0.2884452173913043	-0.28870829956521693	0.06996264652072293	-0.4194324782608697	-0.1489777608695652	0.0	1.0	late-early	1000
IL-1RT2	23	0.19218869565217397	0.19208565434782596	0.07716968654214106	0.060949141304347906	0.3581187173913045	1.0	1.0	late-early	1000
CKAP4	23	-0.5749573913043476	-0.5730877813043475	0.13435794371606408	-0.8501359891304349	-0.3336296847826085	0.0	1.0	late-early	1000
LILRB5	23	0.38093956521739136	0.37895680347826105	0.06691164489703573	0.24508770652173903	0.5089112065217392	1.0	1.0	late-early	1000
CCL24	23	1.5961521739130435	1.5997759743478261	0.2240189283575585	1.1645925760869567	2.022428760869565	1.0	1.0	late-early	1000
CCL11	23	0.19494695652173916	0.19219707739130426	0.0697991004918677	0.06470548913043482	0.3394073695652175	1.0	1.0	late-early	1000
CD5	23	0.22587086956521743	0.226845017826087	0.06184267583451238	0.11562404347826097	0.34855078260869565	1.0	1.0	late-early	1000
BMP-6	23	-0.3253904347826086	-0.32603055347826065	0.06662577921567232	-0.45377572826086954	-0.19528518478260878	0.0	1.0	late-early	1000
BACH1	23	-0.44243608695652165	-0.4447986534782609	0.1611038840209755	-0.7658309782608698	-0.13090782608695656	0.0	1.0	late-early	1000
PSIP1	23	-0.49579173913043467	-0.4952058047826093	0.14651917354407976	-0.8086354999999998	-0.22728331521739148	0.0	1.0	late-early	1000
BOC	23	0.40620130434782625	0.4047928191304341	0.051136943471642625	0.3002137065217393	0.5030324782608695	1.0	1.0	late-early	1000
BTN3A2	23	-0.4945234782608696	-0.4944874639130441	0.1020586153471957	-0.6954487391304347	-0.30339640217391306	0.0	1.0	late-early	1000
CD83	23	0.24690739130434777	0.2454043400000001	0.06807653390987632	0.11679024999999996	0.377282652173913	1.0	1.0	late-early	1000
AXL	23	0.2881095652173912	0.2935464156521737	0.09909111965607136	0.10004805434782597	0.48209426086956503	1.0	1.0	late-early	1000
SERPINA12	23	0.6883656521739133	0.6916780547826104	0.12719660419723267	0.4351715869565218	0.9238030543478261	1.0	1.0	late-early	1000
t-PA	23	-0.6297408695652174	-0.635001305217391	0.1686266236575194	-0.957263141304348	-0.27728815217391317	0.0	1.0	late-early	1000
PTH1R	23	0.3535208695652173	0.35463463782608673	0.07448513724315087	0.2132762826086957	0.48867381521739117	1.0	1.0	late-early	1000
PRSS8	23	0.11314652173913015	0.1128818304347823	0.03267846741556806	0.049949847826086594	0.17406402173913016	1.0	1.0	late-early	1000
CASP-8	23	-0.6696917391304348	-0.6673141052173931	0.13336585572507295	-0.9391401195652176	-0.4170738586956523	0.0	1.0	late-early	1000
CD28	23	0.30747217391304354	0.3051340308695647	0.0813610922796609	0.13677857608695665	0.45063192391304346	1.0	1.0	late-early	1000
PSP-D	23	0.8198773913043477	0.8151984621739122	0.21954810428134375	0.39499270652173907	1.2440852717391304	1.0	1.0	late-early	1000
SERPINA5	23	0.6669939130434784	0.6623133782608692	0.15839288236645008	0.36200348913043484	0.9708497391304349	1.0	1.0	late-early	1000
PROC	23	0.3202365217391304	0.3186097556521742	0.07512347003926896	0.18192578260869582	0.47028730434782606	1.0	1.0	late-early	1000
