perm	module	n	mean_diff	p_value	bh_q
15	12	23	0.014633781597573264	0.8000097250683271	0.9284200660585864
15	13	23	-0.004753952569169985	0.9675730471926602	0.9675730471926602
15	14	23	0.044930741687979704	0.5376573818178154	0.9284200660585864
15	15	23	0.014401464530892538	0.8046307239174415	0.9284200660585864
16	1	23	-0.020689813664596334	0.8836766167991577	0.9383101372437559
16	2	23	-0.06253687088274047	0.6550318574582001	0.9359654762116992
16	3	23	0.14127140929535234	0.16417507502812856	0.7970177756163519
16	4	23	-0.028196178489702618	0.6954983870054283	0.9359654762116992
16	5	23	-0.05611513043478265	0.21253807349769382	0.7970177756163519
16	6	23	-0.04251867444326611	0.4197301907834663	0.9359654762116992
16	7	23	0.007500434782608771	0.9383101372437559	0.9383101372437559
16	8	23	-0.041647016491754105	0.5548399415643002	0.9359654762116992
16	9	23	-0.04913783643892344	0.6216689326347837	0.9359654762116992
16	10	23	-0.022269450800915244	0.7487723809693594	0.9359654762116992
16	11	23	-0.3117461024844722	0.06743018491061359	0.7970177756163519
16	12	23	-0.0282031078904992	0.7224404156159072	0.9359654762116992
16	13	23	-0.05687563545150481	0.18564243479671783	0.7970177756163519
16	14	23	-0.02620942028985499	0.7029115124643934	0.9359654762116992
16	15	23	0.012429347826086913	0.8552843970938633	0.9383101372437559
17	1	23	-0.05399057971014485	0.45739083584799056	0.6238353421911825
17	2	23	-0.010025913043478194	0.8714138552585402	0.8714138552585402
17	3	23	-0.04367165217391304	0.5644610182940861	0.6238353421911825
17	4	23	-0.11242988917306042	0.2801828260017942	0.6003917700038448
17	5	23	-0.07147365217391302	0.18500535273029017	0.6003917700038448
17	6	23	-0.044874894810659156	0.5822463193784371	0.6238353421911825
17	7	23	-0.117617971014493	0.05819628425654444	0.6003917700038448
17	8	23	-0.03123688963210689	0.5805493323831303	0.6238353421911825
17	9	23	-0.07470649275362323	0.5268411901982684	0.6238353421911825
17	10	23	-0.0699823369565217	0.4629694692240893	0.6238353421911825
17	11	23	0.16032222222222217	0.24828119171750807	0.6003917700038448
17	12	23	-0.23103186454849514	0.16125368114069838	0.6003917700038448
17	13	23	-0.07267484782608699	0.47761175003630907	0.6238353421911825
17	14	23	-0.11011130434782605	0.12277771083044131	0.6003917700038448
17	15	23	-0.07957307246376806	0.207669541759959	0.6003917700038448
18	1	23	0.041482748447205016	0.730673377819943	0.9664285489156017
18	2	23	0.026561153846153807	0.6625398933848485	0.9664285489156017
18	3	23	-0.08839427536231886	0.570714088446933	0.9664285489156017
18	4	23	0.011351884057971046	0.9376564957269629	0.9664285489156017
18	5	23	-0.00518767332549936	0.9404729430788077	0.9664285489156017
18	6	23	0.004741545893719764	0.9445736747142681	0.9664285489156017
18	7	23	-0.01698307692307705	0.7474268337421783	0.9664285489156017
18	8	23	0.05774945652173906	0.26055838635335293	0.9664285489156017
18	9	23	0.06320565217391332	0.3821791169828632	0.9664285489156017
18	10	23	0.03121835144927537	0.7498834344526948	0.9664285489156017
18	11	23	-0.026091291925465724	0.6852206837933648	0.9664285489156017
18	12	23	0.023216684782608542	0.856771091710347	0.9664285489156017
18	13	23	-0.14195229249011856	0.3221205652639336	0.9664285489156017
18	14	23	-0.023662713643178526	0.6910385392753295	0.9664285489156017
18	15	23	0.0037485812356978883	0.9664285489156017	0.9664285489156017
19	1	23	0.08970241847826092	0.18131284489955135	0.9268524856537983
19	2	23	-0.03677608695652164	0.7804269564690411	0.9268524856537983
19	3	23	0.008464521739130341	0.9268524856537983	0.9268524856537983
19	4	23	-0.009745449275362304	0.8635282700634406	0.9268524856537983
19	5	23	-0.10809809364548498	0.5835727712284835	0.9268524856537983
19	6	23	-0.006849948849104677	0.9138706851700353	0.9268524856537983
19	7	23	-0.03823949275362313	0.5560949785411542	0.9268524856537983
19	8	23	0.05609922495274102	0.532705943591474	0.9268524856537983
19	9	23	-0.015903152173913172	0.8558263798201358	0.9268524856537983
19	10	23	0.18861098039215682	0.2741236320510694	0.9268524856537983
19	11	23	0.08790921739130425	0.11075659402543003	0.9268524856537983
19	12	23	0.03435317934782609	0.6519112674896337	0.9268524856537983
19	13	23	0.04499979933110363	0.524526913391488	0.9268524856537983
19	14	23	0.05550540133779262	0.5194112288402821	0.9268524856537983
19	15	23	0.04405723062381847	0.5725718355022731	0.9268524856537983
20	1	23	-0.01806658536585351	0.8242825118437773	0.8242825118437774
20	2	23	0.017320748792270635	0.7598084438961226	0.8242825118437774
20	3	23	0.06494360708534616	0.4367506805494976	0.8242825118437774
20	4	23	0.1710700608695652	0.35727511991060146	0.8242825118437774
20	5	23	0.041881009817671754	0.6891654224111523	0.8242825118437774
20	6	23	-0.05035322463768114	0.3473415385745806	0.8242825118437774
20	7	23	-0.07941086956521748	0.2233012620383934	0.8242825118437774
20	8	23	0.026713511074651496	0.821705255371795	0.8242825118437774
20	9	23	0.04066182831661096	0.6988137523650124	0.8242825118437774
20	10	23	-0.13511321070234092	0.49237749724649804	0.8242825118437774
20	11	23	0.08000415760869566	0.3932669792132706	0.8242825118437774
20	12	23	0.03843123745819422	0.6051676784365458	0.8242825118437774
